question,label
음악교육과 전화번호 알려줘,B-INFO E-INFO O
음교과 전화번호 알려줘,B-INFO E-INFO O
의생명과학과 전화번호 알려줘,B-INFO E-INFO O
의예과 전화번호 알려줘,B-INFO E-INFO O
의학과 전화번호 알려줘,B-INFO E-INFO O
인공지능공학과 전화번호 알려줘,B-INFO E-INFO O
일본어과 전화번호 알려줘,B-INFO E-INFO O
자유전공학부 전화번호 알려줘,B-INFO E-INFO O
작업치료학과 전화번호 알려줘,B-INFO E-INFO O
재료공학과 전화번호 알려줘,B-INFO E-INFO O
전기공학과 전화번호 알려줘,B-INFO E-INFO O
전자공학부 전화번호 알려줘,B-INFO E-INFO O
정보통신공학부 전화번호 알려줘,B-INFO E-INFO O
정치외교학과 전화번호 알려줘,B-INFO E-INFO O
중국어문화학과 전화번호 알려줘,B-INFO E-INFO O
지구과학교육과 전화번호 알려줘,B-INFO E-INFO O
철학과 전화번호 알려줘,B-INFO E-INFO O
첨단에너지공학과 전화번호 알려줘,B-INFO E-INFO O
체육학과 전화번호 알려줘,B-INFO E-INFO O
치의학과 전화번호 알려줘,B-INFO E-INFO O
컴퓨터공학과 전화번호 알려줘,B-INFO E-INFO O
서울에서 조선대로 어떻게 와,B-INFO E-INFO O O
서울에서 조선대로 오는 방법,B-INFO E-INFO O S-INFO
서울에서 조선대로 뭐 타고가야 하냐,B-INFO E-INFO O O O
부산에서 조선대로 어떻게 와,B-INFO E-INFO O O
부산에서 조선대로 오는 방법,B-INFO E-INFO O S-INFO
부산에서 조선대로 뭐 타고가야 하나,B-INFO E-INFO O O O
부산에서 조선대,B-INFO E-INFO
서울에서 조선대,B-INFO E-INFO
고속버스 뭐 타고가야 하냐,S-INFO O O O
광천에서 버스 뭐 타고가야 하냐,B-INFO E-INFO O O O
광천에서 조선대 알려줘,B-INFO E-INFO O
광천에서 조대 알려줘,B-INFO E-INFO O
광주역에서 조선대 뭐 타고가야 하냐,B-INFO E-INFO O O O
광주역에서 조선대 알려줘,B-INFO E-INFO O
송정역에서 조선대 뭐 타고가야 하냐,B-INFO E-INFO O O O
송정역에서 조선대 알려줘,B-INFO E-INFO O
송정역에서 버스 뭐 타고가야 하냐,B-INFO E-INFO O O O
광주역에서 버스 뭐 타고가야 하냐,B-INFO E-INFO O O O
지하철 어디에서 내리냐,B-INFO O O
지하철 무슨 방면으로 타야 하냐,S-INFO O S-INFO O O
지하철 뭐 타야 하냐,S-INFO O O O
조선대 하차 버스 뭐 타고가야 하냐,B-INFO I-INFO E-INFO O O O
조선대 하차 버스 뭐냐,B-INFO I-INFO E-INFO O
조선대 하차 버스 알려줘,B-INFO I-INFO E-INFO O
교내 시내버스 알려줘,B-INFO E-INFO O
조선대 시내버스 알려줘,B-INFO E-INFO O
신규장학생 선발 알려줘,B-INFO E-INFO O
신규장학생 선발 뭐야,B-INFO E-INFO O
점프 장학생 알려줘,B-INFO E-INFO O
점프 장학생 선발 뭐야,B-INFO E-INFO O O
근장 알려줘,S-INFO O
근장 뭐야,S-INFO O
대청교 알려줘,S-INFO O
대청교 뭐야,S-INFO O
장학금 신청기간 알려줘,B-INFO E-INFO O
장학금 신청기간 뭐야,B-INFO E-INFO O
가족장학금 알려줘,S-INFO O
가족장학금 뭐야,S-INFO O
신입생 장학금 신청 알려줘,B-INFO I-INFO E-INFO O
신입생 장학금 뭐야,B-INFO E-INFO O
편입생 장학금 신청 알려줘,B-INFO I-INFO E-INFO O
편입생 장학금 뭐야,B-INFO E-INFO O
수혜증명서 알려줘,S-INFO O
수혜증명서 어디서 뽑아,S-INFO O O
장학금 수혜증명서 뭐야,B-INFO E-INFO O
청송 장학생 알려줘,B-INFO E-INFO O
청송 장학생 뭐야,B-INFO E-INFO O
보훈 장학 신청 알려줘,B-INFO I-INFO E-INFO O
보훈 장학 신청 뭐야,B-INFO I-INFO E-INFO O
백악복지장학금 알려줘,S-INFO O
백악복지장학금 뭐야,S-INFO O
성적우수장학금 알려줘,S-INFO O
성적우수장학금 뭐야,S-INFO O
장학금 접수 알려줘,B-INFO E-INFO O
장학금 접수 뭐야,B-INFO E-INFO O
국제 교류 알려줘,B-INFO E-INFO O
국제 교류 뭐야,B-INFO E-INFO O
야 국제 교류 알려줘,O B-INFO E-INFO O
그러면 국제 교류 알려줘,O B-INFO E-INFO O
수시모집요강 알려줘,S-INFO O
야 수시모집요강 뭐야,O S-INFO O
편입생모집 경쟁률 알려줘,B-INFO E-INFO O
편입생 경쟁률 알려줘,B-INFO E-INFO O
편입생 추가모집 알려줘,B-INFO E-INFO O
정시모집 경쟁률 알려줘,B-INFO E-INFO O
정시모집 알려줘,S-INFO O
정시모집 뭐야,S-INFO O
야 정시모집 알려줘,O S-INFO O
그럼 정시 알려줘,O S-INFO O
농어촌학생 알려줘,S-INFO O
농어촌학생 지원자격 알려줘,B-INFO E-INFO O
농어촌학생 지원자격 뭐야,B-INFO E-INFO O
이의신청 알려줘,S-INFO O
이의신청 뭐야,S-INFO O
수시모집 추가합격자 알려줘,B-INFO E-INFO O
수시모집 추가합격자 뭐야,B-INFO E-INFO O
학생통합지원시스템 알려줘,S-INFO O
학생통합지원시스템 뭐야,S-INFO O
야 학생통합지원시스템 알려줘,O S-INFO O
그럼 학생통합지원시스템 알려줘,O S-INFO O
학사일정 알려줘,S-INFO O
학사일정 뭐야,S-INFO O
야 학사일정 알려줘,O S-INFO O
그러면 학사일정 알려줘,O S-INFO O
그럼 학사일정 알려줘,O S-INFO O
중간고사 언제봐,S-INFO O
기말고사 언제봐,S-INFO O
중간 기간 알려줘,B-INFO E-INFO O
기말 기간 알려줘,B-INFO E-INFO O
야 중간고사 기간 알려줘,O B-INFO E-INFO O
야 기말고사 기간 알려줘,O B-INFO E-INFO O
수업평가 기간 알려줘,B-INFO E-INFO O
야 수업평가 기간 뭐야,O B-INFO E-INFO O
야 수업평가 기간 언제야,O B-INFO E-INFO O
그럼 수업평가 기간 알려줘,O B-INFO E-INFO O
교내 채용 알려줘,B-INFO E-INFO O
교내 채용 뭐야,B-INFO E-INFO O
야 교내 채용 알려줘,O B-INFO E-INFO O
야 교내 채용 뭐야,O B-INFO E-INFO O
조교 채용 공고 알려줘,B-INFO I-INFO E-INFO O
조교 채용 언제야,B-INFO E-INFO O
18극장 어디야,S-INFO O
18극장 위치 알려줘,S-INFO B-INFO O
제1공과대 알려줘,S-INFO O
제1공과대 위치 어디야,B-INFO E-INFO O
야 제1공과대 뭐야,O S-INFO O
국제관 위치 알려줘,B-INFO E-INFO O
야 국제관 어디야,O S-INFO O
야 국제관 뭐야,O S-INFO O
법과대학 어디야,S-INFO O
법과대학 위치 알려줘,B-INFO E-INFO O
야 법과대학 어디야,O S-INFO O
야 법과대학 알려줘,O S-INFO O
야 생명공학관 어디야,O S-INFO O
생명공학관 위치 알려줘,B-INFO E-INFO O
그럼 생명공학관 위치 알려줘,O B-INFO E-INFO O
서석홀 위치 알려줘,B-INFO E-INFO O
서석홀 어디야,S-INFO O
야 서석홀 위치 알려줘,O B-INFO E-INFO O
약학대학 2호관 알려줘,B-INFO E-INFO O
야 약학대학 2호관 위치 알려줘,O B-INFO I-INFO E-INFO O
약학대학 2호관 어디야,B-INFO E-INFO O
입석홀 알려줘,S-INFO O
야 입석홀 어디야,O S-INFO O
야 입석홀 알려줘,O S-INFO O
야 의과대학 2호관 알려줘,O B-INFO E-INFO O
의과대학 2호관 위치 어디야,B-INFO I-INFO E-INFO O
의과대학 2호관 알려줘,B-INFO E-INFO O
장황남정보통신박물관 어디야,S-INFO O
야 장황남정보통신박물관 알려줘,O S-INFO O
야 장황남정보통신박물관 위치 알려줘,O B-INFO E-INFO O
조선대학교 부속고등학교 알려줘,B-INFO E-INFO O
조선대학교 부속고 위치 알려줘,B-INFO I-INFO E-INFO O
야 조선대학교 부속고 어디야,O B-INFO E-INFO O
야 조선대학교 부속고등학교 어디야,O B-INFO E-INFO O
야 조선대학교 병원 장례식장 어디야,O B-INFO I-INFO E-INFO O
조선대학교병원 장례식장 위치 알려줘,B-INFO I-INFO E-INFO O
조선대학교병원 장례식장 어디야,B-INFO E-INFO O
조선대학교 여자고등학교 어디야,B-INFO E-INFO O
조선대학교 여자고등학교 위치 알려줘,B-INFO I-INFO E-INFO O
야 조선대학교 여자고등학교 어디야,O B-INFO E-INFO O
야 주차빌딩 위치 알려줘,O B-INFO E-INFO O
야 주차빌딩 어디야,O S-INFO O
야 체육대학 어디야,O S-INFO O
야 체육대학 위치 알려줘,O B-INFO E-INFO O
체육대학 어디야,S-INFO O
체대 위치 알려줘,B-INFO E-INFO O
체대 어디야,S-INFO O
야 체대 위치 알려줘,O B-INFO E-INFO O
야 태양에너지실증연구단지 위치 알려줘,O B-INFO E-INFO O
태양에너지실증연구단지 위치 어디야,B-INFO E-INFO O
항공우주공학관 위치 알려줘,B-INFO E-INFO O
야 항공우주공학관 어디야,O S-INFO O
항공우주공학관 어디야,S-INFO O
선박해양공학관 어디야,S-INFO O
선박해양공학관 위치 어디야,B-INFO E-INFO O
야 선박해양공학관 어디야,O S-INFO O
IT융합대학 위치 어디야,B-INFO E-INFO O
IT융합대학 어디야,S-INFO O
IT융합대학 알려줘,S-INFO O
야 IT융합대학 위치 알려줘,O S-INFO B-INFO O
야 IT융합대학 어디야,O S-INFO O
제2공학관 위치 알려줘,B-INFO E-INFO O
제2공학관 어디야,S-INFO O
야 제2공학관 알려줘,O S-INFO O
그린빌리지 알려줘,S-INFO O
야 그린빌리지 어디야,O S-INFO O
미술대학 위치 알려줘,B-INFO E-INFO O
미술대학 어디야,S-INFO O
야 미술대학 위치 알려줘,O B-INFO E-INFO O
그럼 미술대학 위치 어디야,O B-INFO E-INFO O
본관 위치 알려줘,B-INFO E-INFO O
본관 어디야,S-INFO O
야 본관 알려줘,O S-INFO O
야 본관 위치 알려줘, B-INFO E-INFO O
솔마루 위치 알려줘,B-INFO E-INFO O
야 솔마루 어디야,O S-INFO O
솔마루 식당 알려줘,B-INFO E-INFO O
솔마루 식당 어디야,B-INFO E-INFO O
약학대학3호관 알려줘,S-INFO O
약학대학3호관 어디야,S-INFO O
의과대학3호관 알려줘,S-INFO O
의과대학3호관 어디야,S-INFO O
자연과학관 알려줘,S-INFO O
야 자연과학관 어디야,O S-INFO O
자연과학관 어디야,S-INFO O
조선간호대학 알려줘,S-INFO O
야 조선간호대학 위치 어디야,O B-INFO E-INFO O
조선간호대 위치 어디야,B-INFO E-INFO O
조선간호대 어디야,S-INFO O
야 조선간호대 위치 어디야,O B-INFO E-INFO O
조선대학교 부속중학교 위치 어디야,B-INFO I-INFO E-INFO O
야 조선대학교 부속중학교 어디야,O B-INFO E-INFO O
야 조선대학교 부속중학교 위치 알려줘,O B-INFO I-INFO E-INFO O
조선대학교 여자종학교 위치 어디야,B-INFO I-INFO E-INFO O
조선대학교 여자중학교 어디야,B-INFO E-INFO O
조대여중 어디야,S-INFO O
조대여중 위치 알려줘,B-INFO E-INFO O
조대부중 어디야,S-INFO O
조대부중 위치 알려줘,B-INFO E-INFO O
조선이공대 1호관 알려줘,B-INFO E-INFO O
조선이공대 1호관 위치 알려줘,B-INFO I-INFO E-INFO O
야 조이공 1호관 어디야,O B-INFO E-INFO O
야 조이공 1호관 위치 어디야,O B-INFO I-INFO E-INFO O
야 조이공 3호관 어디야,O B-INFO E-INFO O
야 조이공 3호관 위치 어디야,O B-INFO I-INFO E-INFO O
조이공 3호관 위치 어디야,B-INFO I-INFO E-INFO O
중앙도서관 어디야,S-INFO O
중앙도서관 위치 알려줘,B-INFO E-INFO O
야 중도 어디야,O S-INFO O
중도 위치 알려줘,B-INFO E-INFO O
중도 어디야,S-INFO O
치대 어디야,S-INFO O
치대 위치 알려줘,B-INFO E-INFO O
학군단 어디야,S-INFO O
야 학군단 위치 알려줘,O B-INFO E-INFO O
ROTC 위치 알려줘,B-INFO E-INFO O
야 ROTC 위치 어디야,O B-INFO E-INFO O
해오름관 위치 어디야,B-INFO E-INFO O
해오름관 알려줘,S-INFO O
야 해오름관 어디야,O S-INFO O
야 경상대학 어디야,O S-INFO O
야 경상대 어디야,O S-INFO O
경상대 위치 알려줘,B-INFO E-INFO O
경상대 어디있어,S-INFO O
교수연구동 알려줘,S-INFO O
교수연구동 어디있어,S-INFO O
야 교수연구동 어디야,O S-INFO O
야 글로벌하우스 어디있어,O S-INFO O
야 글로벌하우스 위치 알려줘,O B-INFO E-INFO O
글로벌하우스 어디야,S-INFO O
백학기숙사 어디있어,S-INFO O
백학학사 어디야,S-INFO O
백학학사 위치 알려줘,B-INFO E-INFO O
야 백학학사 어디있어,O S-INFO O
사회과학대 어디있어,S-INFO O
사회과학대 위치 어디야,B-INFO E-INFO O
사회과학대 어디야,S-INFO O
야 사범대학 위치 알려줘,O B-INFO E-INFO O
야 사범대학 알려줘,O S-INFO O
사범대학 어디야,S-INFO O
야 사대 위치 알려줘,O B-INFO E-INFO O
야 사대 알려줘,O S-INFO O
야 장미원 어디야,O S-INFO O
야 장미원 위치 알려줘,O B-INFO E-INFO O
야 조대병원 위치 어디야,O B-INFO E-INFO O
야 조대병원 알려줘,O S-INFO O
조대병원 어디야,S-INFO O
조대병원 위치 알려줘,B-INFO E-INFO O
조선대학교 어린이집 위치 알려줘,B-INFO I-INFO E-INFO O
조선대학교 어린이집 어디야,B-INFO E-INFO O
야 조선대학교 어린이집 어디야,O B-INFO E-INFO O
창업보육센터 어디야,S-INFO O
야 창업보육센터 어디야,O S-INFO O
야 창업보육센터 위치 알려줘,O B-INFO E-INFO O
야 학생회관 어디야,O S-INFO O
학생회관 위치 알려줘,B-INFO E-INFO O
그럼 학생회관 어디야,O S-INFO O
학생회관 어디야,S-INFO O
교내버스 알려줘,S-INFO O
교내버스 운행 시간 알려줘,S-INFO B-INFO E-INFO O
교내버스 운행 시간 뭐야,S-INFO B-INFO E-INFO O
야 교내버스 운행 언제해,O B-INFO E-INFO O
교내버스 운행 언제해,B-INFO E-INFO O
교내버스 언제와,S-INFO O
교내버스 야간운행 시간 알려줘,B-INFO I-INFO E-INFO O
교내버스 야간 언제해,B-INFO E-INFO O
사회과학관 운행 버스 언제와,B-INFO I-INFO E-INFO O
사회과학관 버스운행 시간 알려줘,B-INFO I-INFO E-INFO O
야 사회과학관 버스 언제와,O B-INFO E-INFO O
글로벌하우스 운행 시간 알려줘,B-INFO I-INFO E-INFO O
야 글로벌하우스 운행 언제해,O B-INFO E-INFO O
야 글로벌하우스 버스 알려줘,O B-INFO E-INFO O
방학중 교내버스 운행 시간 알려줘,B-INFO I-INFO I-INFO E-INFO O
야 방학중 버스 언제해,O B-INFO E-INFO O
야 방학 버스 언제해,O B-INFO E-INFO O
장학 제도 알려줘,B-INFO E-INFO O
야 장학 제도 뭐야,O B-INFO E-INFO O
장학 제도 어디서 봐,B-INFO E-INFO O O
그럼 장학 제도 알려줘,O B-INFO E-INFO O
학자금대출 알려줘,S-INFO O
야 학자금대출 어디서 해,O S-INFO O O
학자금대출 뭐야,S-INFO O
원스톱상담시스템 알려줘,S-INFO O
원스톱상담시스템 뭐야,S-INFO O
원스톱학생상담센터 알려줘,S-INFO O
원스톱학생상담센터 뭐야,S-INFO O
교수학습지원센터 뭐야,S-INFO O
야 교수학습지원센터 알려줘,O S-INFO O
양성평등상담 알려줘,S-INFO O
양성평등상담 뭐야,S-INFO O
야 양성평등상담 뭐야,O S-INFO O
장애학생지원센터 알려줘,S-INFO O
야 장애학생지원센터 뭐야,O S-INFO O
장애학생지원센터 뭐야,S-INFO O
신입생 장학금 알려줘,B-INFO E-INFO O
성적우수 장학금 알려줘,B-INFO E-INFO O
성적우수 장학금 뭐야,B-INFO E-INFO O
입학우수 장학금 알려줘,B-INFO E-INFO O
야 입학우수 장학금 뭐야,O B-INFO E-INFO O
야 입학우수 장학금 알려줘,O B-INFO E-INFO O
지방인재장학금 알려줘,S-INFO O
지방인재장학금 뭐야,S-INFO O
야 지방인재장학금 알려줘,O S-INFO O
국가우수장학금 알려줘,S-INFO O
야 국가우수장학금 뭐야,O S-INFO O
국가우수장학금 뭐야,S-INFO O
국가유공자 장학금 알려줘,B-INFO E-INFO O
국가유공자 장학금 뭐야,B-INFO E-INFO O
야 국가보훈 장학금 알려줘,O B-INFO E-INFO O
야 국가보훈 장학금 뭐야,O B-INFO E-INFO O
아 그럼 국가보훈 장학금 알려줘,O O B-INFO E-INFO O
보훈장학금 뭐야,S-INFO O
보훈장학금 알려줘,S-INFO O
아 그럼 보훈장학금 알려줘,O O S-INFO O
야 그럼 보훈장학금 알려줘,O O S-INFO O
야 보훈장학금 알려줘,O S-INFO O
광주민주화 유공장학금 알려줘,B-INFO E-INFO O
야 광주민주화 유공장학금 뭐야,O B-INFO E-INFO O
아 그럼 광주민주화 유공장학금 알려줘,O O B-INFO E-INFO O
새터민장학금 알려줘,S-INFO O
야 새터민장학금 알려줘,O S-INFO O
그럼 새터민장학금 알려줘,O S-INFO O
새터민장학금 기준 뭐야,B-INFO E-INFO O
특수임무 수행장학금 알려줘,B-INFO E-INFO O
특수임무 수행장학금 뭐야,B-INFO E-INFO O
야 특수임무 수행장학금 기준 뭐야,O B-INFO I-INFO E-INFO O
복지장학금 알려줘,S-INFO O
야 복지장학금 기준 뭐야,O B-INFO E-INFO O
복지장학금 뭐야,S-INFO O
권학장학금 뭐야,S-INFO O
권학장학금 알려줘,S-INFO O
야 권학장학금 알려줘,O S-INFO O
교외장학금 알려줘,S-INFO O
교외장학금 뭐야,S-INFO O
야 교외장학금 알려줘,O S-INFO O
백악복지장학금 알려줘,S-INFO O
야 백악복지장학금 뭐야,O S-INFO O
그럼 백악복지장학금 기준 알려줘,O B-INFO E-INFO O
백악복지장학금 기준 알려줘,B-INFO E-INFO O
백악복지장학금 기준 뭐야,B-INFO E-INFO O
장애학생 복지장학금 알려줘,B-INFO E-INFO O
장애학생 복지장학금 뭐야,B-INFO E-INFO O
야 장애학생 복지장학금 알려줘,O B-INFO E-INFO O
장애학생 복지장학금 기준 뭐야,B-INFO I-INFO E-INFO O
특기장학금 뭐야,S-INFO O
특기장학금 알려줘,S-INFO O
기타장학금 알려줘,S-INFO O
야 기타장학금 뭐야,O S-INFO O
기타장학금 기준 알려줘,B-INFO E-INFO O
외국인 학생장학금 알려줘,B-INFO E-INFO O
야 외국인 학생장학금 뭐야,O B-INFO E-INFO O
야 가족장학금 알려줘,O S-INFO O
가족장학금 기준 뭐야,B-INFO E-INFO O
야 가족장학금 뭐야,O B-INFO O
교직원 가족장학금 알려줘,B-INFO I-INFO O
야 교직원 가족장학금 기준 뭐야,O B-INFO I-INFO E-INFO O
교직원 가족장학금 뭐야,B-INFO E-INFO O
야 동문자녀 장학금 뭐야,O B-INFO E-INFO O
동문자녀 장학금 알려줘,B-INFO E-INFO O
동문자녀 장학금 기준 알려줘,B-INFO I-INFO E-INFO O
그럼 동문자녀 장학금 알려줘,O B-INFO E-INFO O
법인산하 교직원장학금 알려줘,B-INFO E-INFO O
법인산하 교직원장학금 뭐야,B-INFO E-INFO O
야 그럼 법인산하 교직원장학금 알려줘,O O B-INFO E-INFO O
조선대학교 설립공로장학금 알려줘,B-INFO E-INFO O
야 조선대학교 설립공로장학금 기준 뭐야,O B-INFO I-INFO E-INFO O
외부사회단체장학금 알려줘,S-INFO O
교외 장학금 알려줘,B-INFO E-INFO O
야 교외 장학금 뭐야,O B-INFO E-INFO O
교외 장학금 기준 알려줘,B-INFO I-INFO E-INFO O
국제 교류 알려줘,B-INFO E-INFO O
국제 교류 뭐야,B-INFO E-INFO O
야 국제 교류 알려줘,O B-INFO E-INFO O
그럼 국제 교류 알려줘,O B-INFO E-INFO O
국제 교류 뭐야,B-INFO E-INFO O
야 국내 교류 알려줘,O B-INFO E-INFO O
야 국내 교류 뭐야,O B-INFO E-INFO O
그럼 국내 교류 알려줘,O B-INFO E-INFO O
국내 교류 뭐야,B-INFO E-INFO O
국내 교류 알려줘,B-INFO E-INFO O
언어교육원 뭐야,S-INFO O
